ProductKey,productitemcode,ProductName,Product_subcategory,Product_category,Product_color,Product_size,ProductLine,ModelName,Product_description,StartDate,EndDate,Product_status
1,AR-5381,"Adjustable Race",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
2,BA-8327,"Bearing Ball",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
3,BE-2349,"BB Ball Bearing",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
4,BE-2908,"Headset Ball Bearings",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
5,BL-2036,Blade,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
6,CA-5965,"LL Crankarm",NULL,NULL,Black,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
7,CA-6738,"ML Crankarm",NULL,NULL,Black,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
8,CA-7457,"HL Crankarm",NULL,NULL,Black,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
9,CB-2903,"Chainring Bolts",NULL,NULL,Silver,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
10,CN-6137,"Chainring Nut",NULL,NULL,Silver,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
11,CR-7833,Chainring,NULL,NULL,Black,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
12,CR-9981,"Crown Race",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
13,CS-2812,"Chain Stays",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
14,DC-8732,"Decal 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
15,DC-9824,"Decal 2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
16,DT-2377,"Down Tube",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
17,EC-M092,"Mountain End Caps",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
18,EC-R098,"Road End Caps",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
19,EC-T209,"Touring End Caps",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
20,FE-3760,"Fork End",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
21,FH-2981,Freewheel,NULL,NULL,Silver,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
22,FW-1000,"Flat Washer 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
23,FW-1200,"Flat Washer 6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
24,FW-1400,"Flat Washer 2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
25,FW-3400,"Flat Washer 9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
26,FW-3800,"Flat Washer 4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
27,FW-5160,"Flat Washer 3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
28,FW-5800,"Flat Washer 8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
29,FW-7160,"Flat Washer 5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
30,FW-9160,"Flat Washer 7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
31,FC-3654,"Fork Crown",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
32,FC-3982,"Front Derailleur Cage",NULL,NULL,Silver,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
33,FL-2301,"Front Derailleur Linkage",NULL,NULL,Silver,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
34,GP-0982,"Guide Pulley",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
35,GT-0820,"LL Grip Tape",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
36,GT-1209,"ML Grip Tape",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
37,GT-2908,"HL Grip Tape",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
38,HJ-1213,"Thin-Jam Hex Nut 9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
